level,base_sentence,slot,case,correct_form,english
B1,"Die Studentin bereitet ___ Prüfung sorgfältig vor.",Definite Article,Akkusativ,die,"The student prepares the exam carefully."
B1,"Das Kind sucht ___ Schlüssel überall.",Definite Article,Akkusativ,den,"The child looks for the key everywhere."
B1,"Ich erkläre ___ Gast den Plan.",Definite Article,Dativ,dem,"I explain the plan to the guest."
B1,"Wir empfehlen ___ Freundin dieses Buch.",Definite Article,Dativ,der,"We recommend this book to the friend."
B1,"Er leiht ___ Nachbarn sein Werkzeug.",Definite Article,Dativ,dem,"He lends his tools to the neighbor."
B1,"___ Politiker spricht, nachdem die Sitzung endet.",Definite Article,Nominativ,der,"The politician speaks after the meeting ends."
B1,"___ Journalistin stellt kritische Fragen.",Definite Article,Nominativ,die,"The journalist asks critical questions."
B1,"___ Projekt wurde schnell abgeschlossen.",Definite Article,Nominativ,das,"The project was completed quickly."
B1,"Der Chef überprüft ___ Bericht vor dem Termin.",Definite Article,Akkusativ,den,"The boss reviews the report before the appointment."
B1,"Die Familie plant ___ Reise im Voraus.",Definite Article,Akkusativ,die,"The family plans the trip in advance."
B1,"Das Team diskutiert ___ Vorschlag ausführlich.",Definite Article,Akkusativ,den,"The team discusses the proposal thoroughly."
B1,"Ich widerspreche ___ Meinung höflich.",Definite Article,Dativ,der,"I politely disagree with the opinion."
B1,"Sie erzählt ___ Kollegen von dem Problem.",Definite Article,Dativ,dem,"She tells the colleague about the problem."
B1,"Wir passen ___ Situation flexibel an.",Definite Article,Dativ,der,"We adapt flexibly to the situation."
B1,"___ Kunde beschwert sich, weil die Lieferung fehlt.",Definite Article,Nominativ,der,"The customer complains because the delivery is missing."
B1,"___ Autor beschreibt das Thema sehr genau.",Definite Article,Nominativ,der,"The author describes the topic very precisely."
B2,"___ Wissenschaftler erklärt die Theorie, die lange umstritten war.",Definite Article,Nominativ,der,"The scientist explains the theory that was controversial for a long time."
B2,"___ Journalistin berichtet, nachdem die Debatte beendet wurde.",Definite Article,Nominativ,die,"The journalist reports after the debate has ended."
B2,"___ Experiment liefert Ergebnisse, die niemand erwartet hat.",Definite Article,Nominativ,das,"The experiment delivers results that no one expected."
B2,"Der Direktor kritisiert ___ Entscheidung öffentlich.",Definite Article,Akkusativ,die,"The director criticizes the decision publicly."
B2,"Die Anwältin analysiert ___ Vertrag sehr genau.",Definite Article,Akkusativ,den,"The lawyer analyzes the contract very carefully."
B2,"Das Gremium überprüft ___ Vorschlag, bevor abgestimmt wird.",Definite Article,Akkusativ,den,"The committee reviews the proposal before voting."
B2,"Ich widerspreche ___ Argument aus sachlichen Gründen.",Definite Article,Dativ,dem,"I contradict the argument for factual reasons."
B2,"Wir stellen ___ Bewerber nach dem Gespräch weitere Fragen.",Definite Article,Dativ,dem,"We ask the applicant further questions after the interview."
B2,"Er vertraut ___ Urteil des Gerichts trotz Kritik.",Definite Article,Dativ,dem,"He trusts the court’s judgment despite criticism."
B2,"___ Philosoph entwickelt eine These, die zum Nachdenken zwingt.",Definite Article,Nominativ,der,"The philosopher develops a thesis that forces reflection."
B2,"___ Organisation reagiert, sobald neue Informationen vorliegen.",Definite Article,Nominativ,die,"The organization responds as soon as new information is available."
B2,"___ Verfahren wurde geändert, um Fehler zu vermeiden.",Definite Article,Nominativ,das,"The procedure was changed to avoid mistakes."
B2,"Die Redaktion überarbeitet ___ Artikel, bevor er erscheint.",Definite Article,Akkusativ,den,"The editorial team revises the article before it appears."
B2,"Der Richter beurteilt ___ Fall unabhängig von der Öffentlichkeit.",Definite Article,Akkusativ,den,"The judge assesses the case independently of the public."
B2,"Das Publikum hinterfragt ___ Darstellung kritisch.",Definite Article,Akkusativ,die,"The audience questions the portrayal critically."
B2,"Ich folge ___ Logik der Argumentation nicht vollständig.",Definite Article,Dativ,der,"I do not fully follow the logic of the argumentation."
B2,"Sie dankt ___ Unterstützern, ohne sie namentlich zu nennen.",Definite Article,Dativ,den,"She thanks the supporters without naming them."
B2,"Wir nähern uns ___ Ende der Diskussion schrittweise.",Definite Article,Dativ,dem,"We gradually approach the end of the discussion."
B2,"Das ist die Konsequenz ___ Entscheidung des Vorstands.",Definite Article,Genitiv,der,"That is the consequence of the board’s decision."
B2,"Er analysiert die Bedeutung ___ Begriffs im historischen Kontext.",Definite Article,Genitiv,des,"He analyzes the meaning of the term in a historical context."
A1,"___ Mann liest ein Buch.",Indefinite Article,Nominativ,ein,"A man reads a book."
A1,"___ Frau trinkt Wasser.",Indefinite Article,Nominativ,eine,"A woman drinks water."
A1,"___ Kind schläft.",Indefinite Article,Nominativ,ein,"A child sleeps."
A1,"Der Mann sieht ___ Hund.",Indefinite Article,Akkusativ,einen,"The man sees a dog."
A1,"Die Frau kauft ___ Apfel.",Indefinite Article,Akkusativ,einen,"The woman buys an apple."
A1,"Das Kind hat ___ Ball.",Indefinite Article,Akkusativ,einen,"The child has a ball."
A1,"Ich helfe ___ Mann.",Indefinite Article,Dativ,einem,"I help a man."
A1,"Ich danke ___ Frau.",Indefinite Article,Dativ,einer,"I thank a woman."
A1,"Ich gebe ___ Kind ein Buch.",Indefinite Article,Dativ,einem,"I give a child a book."
A1,"___ Hund frisst.",Indefinite Article,Nominativ,ein,"A dog eats."
A1,"___ Katze schläft.",Indefinite Article,Nominativ,eine,"A cat sleeps."
A1,"___ Auto ist neu.",Indefinite Article,Nominativ,ein,"A car is new."
A1,"Der Junge sieht ___ Vogel.",Indefinite Article,Akkusativ,einen,"The boy sees a bird."
A1,"Die Mutter besucht ___ Arzt.",Indefinite Article,Akkusativ,einen,"The mother visits a doctor."
A1,"Der Vater kauft ___ Brot.",Indefinite Article,Akkusativ,ein,"The father buys some bread."
A1,"Wir helfen ___ Lehrer.",Indefinite Article,Dativ,einem,"We help a teacher."
A1,"Wir folgen ___ Frau.",Indefinite Article,Dativ,einer,"We follow a woman."
A1,"Ich höre ___ Musik.",Indefinite Article,Akkusativ,eine,"I listen to music."
A1,"___ Lehrer spricht.",Indefinite Article,Nominativ,ein,"A teacher speaks."
A1,"___ Mädchen tanzt.",Indefinite Article,Nominativ,ein,"A girl dances."
A2,"___ Nachbar repariert ein Fahrrad.",Indefinite Article,Nominativ,ein,"A neighbor repairs a bicycle."
A2,"___ Kollegin schreibt heute eine E-Mail.",Indefinite Article,Nominativ,eine,"A colleague writes an email today."
A2,"___ Kind erklärt das Spiel ruhig.",Indefinite Article,Nominativ,ein,"A child explains the game calmly."
A2,"Der Student liest ___ Artikel bis morgen.",Indefinite Article,Akkusativ,einen,"The student reads an article by tomorrow."
A2,"Die Touristin fotografiert ___ Gebäude in der Stadt.",Indefinite Article,Akkusativ,ein,"The tourist photographs a building in the city."
A2,"Der Hund sucht ___ Ball im Garten.",Indefinite Article,Akkusativ,einen,"The dog looks for a ball in the garden."
A2,"Ich antworte ___ Lehrer nach dem Kurs.",Indefinite Article,Dativ,einem,"I reply to a teacher after the course."
A2,"Wir danken ___ Helferin am Ende.",Indefinite Article,Dativ,einer,"We thank a helper at the end."
A2,"Er vertraut ___ Freund sehr.",Indefinite Article,Dativ,einem,"He trusts a friend a lot."
A2,"___ Fahrer wartet an einer Ampel.",Indefinite Article,Nominativ,ein,"A driver waits at a traffic light."
A2,"___ Sängerin probt vor dem Konzert.",Indefinite Article,Nominativ,eine,"A singer rehearses before the concert."
A2,"___ Hotel bietet ein Frühstück an.",Indefinite Article,Nominativ,ein,"A hotel offers breakfast."
A2,"Der Koch schneidet ___ Zwiebel schnell.",Indefinite Article,Akkusativ,eine,"The cook cuts an onion quickly."
A2,"Die Firma sucht ___ Mitarbeiter für heute.",Indefinite Article,Akkusativ,einen,"The company looks for an employee for today."
A2,"Das Baby trinkt ___ Milch allein.",Indefinite Article,Akkusativ,eine,"The baby drinks some milk alone."
A2,"Ich folge ___ Weg durch den Park.",Indefinite Article,Dativ,einem,"I follow a path through the park."
A2,"Sie hilft ___ Nachbarn nach der Arbeit.",Indefinite Article,Dativ,einem,"She helps a neighbor after work."
A2,"Wir gratulieren ___ Gewinnerin sofort.",Indefinite Article,Dativ,einer,"We congratulate a winner immediately."
A2,"___ Mechaniker prüft einen Motor genau.",Indefinite Article,Nominativ,ein,"A mechanic checks an engine carefully."
A2,"___ Schauspieler spielt eine Rolle im Theater.",Indefinite Article,Nominativ,ein,"An actor plays a role in the theater."
B1,"___ Besucher wartet, obwohl es regnet.",Indefinite Article,Nominativ,ein,"A visitor waits although it is raining."
B1,"___ Kollegin bleibt heute länger im Büro.",Indefinite Article,Nominativ,eine,"A colleague stays longer at the office today."
B1,"___ Unternehmen wächst seit einigen Jahren.",Indefinite Article,Nominativ,ein,"A company has been growing for several years."
B1,"Der Fahrer parkt ___ Wagen vor dem Haus.",Indefinite Article,Akkusativ,einen,"The driver parks a car in front of the house."
B1,"Die Studentin bereitet ___ Prüfung sorgfältig vor.",Indefinite Article,Akkusativ,eine,"The student prepares an exam carefully."
B1,"Das Kind sucht ___ Schlüssel überall.",Indefinite Article,Akkusativ,einen,"The child looks for a key everywhere."
B1,"Ich erkläre ___ Gast den Plan.",Indefinite Article,Dativ,einem,"I explain the plan to a guest."
B1,"Wir empfehlen ___ Freundin dieses Buch.",Indefinite Article,Dativ,einer,"We recommend this book to a friend."
B1,"Er leiht ___ Nachbarn sein Werkzeug.",Indefinite Article,Dativ,einem,"He lends his tools to a neighbor."
B1,"___ Politiker spricht, nachdem die Sitzung endet.",Indefinite Article,Nominativ,ein,"A politician speaks after the meeting ends."
B1,"___ Journalistin stellt kritische Fragen.",Indefinite Article,Nominativ,eine,"A journalist asks critical questions."
B1,"___ Projekt wurde schneller als geplant abgeschlossen.",Indefinite Article,Nominativ,ein,"A project was completed faster than planned."
B1,"Der Chef überprüft ___ Bericht vor dem Termin.",Indefinite Article,Akkusativ,einen,"The boss reviews a report before the appointment."
B1,"Die Familie plant ___ Reise im Voraus.",Indefinite Article,Akkusativ,eine,"The family plans a trip in advance."
B1,"Das Team diskutiert ___ Vorschlag ausführlich.",Indefinite Article,Akkusativ,einen,"The team discusses a proposal thoroughly."
B1,"Ich widerspreche ___ Meinung höflich.",Indefinite Article,Dativ,einer,"I politely disagree with an opinion."
B1,"Sie erzählt ___ Kollegen von dem Problem.",Indefinite Article,Dativ,einem,"She tells a colleague about the problem."
B1,"Wir passen ___ Situation flexibel an.",Indefinite Article,Dativ,einer,"We adapt flexibly to a situation."
B1,"___ Kunde beschwert sich, weil die Lieferung fehlt.",Indefinite Article,Nominativ,ein,"A customer complains because the delivery is missing."
B1,"___ Autor beschreibt das Thema sehr genau.",Indefinite Article,Nominativ,ein,"An author describes the topic very precisely."
B2,"___ Forscher erläutert die Methode, die neu entwickelt wurde.",Indefinite Article,Nominativ,ein,"A researcher explains the method that was newly developed."
B2,"___ Journalistin veröffentlicht einen Bericht, nachdem die Daten geprüft wurden.",Indefinite Article,Nominativ,eine,"A journalist publishes a report after the data have been reviewed."
B2,"___ Unternehmen expandiert, obwohl der Markt unsicher bleibt.",Indefinite Article,Nominativ,ein,"A company expands although the market remains uncertain."
B2,"Der Direktor verteidigt ___ Entscheidung vor dem Ausschuss.",Indefinite Article,Akkusativ,eine,"The director defends a decision before the committee."
B2,"Die Anwältin prüft ___ Vertrag unter hohem Zeitdruck.",Indefinite Article,Akkusativ,einen,"The lawyer reviews a contract under great time pressure."
B2,"Das Gremium bewertet ___ Vorschlag nach klaren Kriterien.",Indefinite Article,Akkusativ,einen,"The committee evaluates a proposal according to clear criteria."
B2,"Ich widerspreche ___ Argument aus logischen Gründen.",Indefinite Article,Dativ,einem,"I disagree with an argument for logical reasons."
B2,"Wir stellen ___ Bewerber nach dem Gespräch weitere Fragen.",Indefinite Article,Dativ,einem,"We ask an applicant further questions after the interview."
B2,"Er vertraut ___ Einschätzung trotz öffentlicher Kritik.",Indefinite Article,Dativ,einer,"He trusts an assessment despite public criticism."
B2,"___ Philosoph entwickelt eine Theorie, die kontrovers diskutiert wird.",Indefinite Article,Nominativ,ein,"A philosopher develops a theory that is discussed controversially."
B2,"___ Organisation reagiert schnell, sobald neue Hinweise vorliegen.",Indefinite Article,Nominativ,eine,"An organization responds quickly as soon as new clues are available."
B2,"___ Verfahren wurde angepasst, um Fehler zu vermeiden.",Indefinite Article,Nominativ,ein,"A procedure was adjusted to avoid mistakes."
B2,"Die Redaktion überarbeitet ___ Artikel, bevor er veröffentlicht wird.",Indefinite Article,Akkusativ,einen,"The editorial team revises an article before it is published."
B2,"Der Richter beurteilt ___ Fall unabhängig von politischem Druck.",Indefinite Article,Akkusativ,einen,"The judge assesses a case independently of political pressure."
B2,"Das Publikum hinterfragt ___ Darstellung sehr kritisch.",Indefinite Article,Akkusativ,eine,"The audience questions a portrayal very critically."
B2,"Ich folge ___ Logik der Argumentation nicht vollständig.",Indefinite Article,Dativ,einer,"I do not fully follow a line of reasoning."
B2,"Sie dankt ___ Unterstützer öffentlich für das Engagement.",Indefinite Article,Dativ,einem,"She publicly thanks a supporter for the commitment."
B2,"Wir nähern uns ___ Lösung schrittweise an.",Indefinite Article,Dativ,einer,"We gradually approach a solution."
B2,"Das ist die Konsequenz ___ Fehlers in der Planung.",Indefinite Article,Genitiv,eines,"That is the consequence of an error in the planning."
B2,"Er analysiert die Bedeutung ___ Begriffs im historischen Kontext.",Indefinite Article,Genitiv,eines,"He analyzes the meaning of a term in a historical context."
