german,article,plural,level,glosses,example_de,example_en
Boden,der,Böden,A2,Floor,TBD,TBD
Stunde,die,Stunden,A1,Hour,TBD,TBD
Ende,das,Enden,A2,End,TBD,TBD
Familie,die,Familien,A1,Family,TBD,TBD
Kerl,der,Kerle,A2,Guy,TBD,TBD
Kind,das,Kinder,A1,Kind,TBD,TBD
Minute,die,Minuten,A1,Minute,TBD,TBD
Geschichte,die,Geschichten,B1,Story,TBD,TBD
Gott,der,Götter,A2,God,TBD,TBD
Woche,die,Wochen,A1,Week,TBD,TBD
Arbeit,die,-,A2,Work,TBD,TBD
Schulter,die,Schultern,A1,Shoulder,TBD,TBD
Teil,der,Teile,A2,Part,TBD,TBD
Verstand,der,-,B1,Mind,TBD,TBD
Buch,das,Bücher,A1,Book,TBD,TBD
Finger,der,Finger,A1,Finger,TBD,TBD
Mund,der,Münder,A1,Mouth,TBD,TBD
Kind,das,Kinder,A1,Kid,TBD,TBD
Glas,das,Gläser,A2,Glass,TBD,TBD
Baum,der,Bäume,A1,Tree,TBD,TBD
Klang,der,Klänge,A2,Sound,TBD,TBD
Linie,die,Linien,A2,Line,TBD,TBD
Ehefrau,die,Ehefrauen,A2,Wife,TBD,TBD
Herz,das,Herzen,A1,Heart,TBD,TBD
Geld,das,-,A2,Money,TBD,TBD
Telefon,das,Telefone,A2,Phone,TBD,TBD
Blick,der,Blicke,A2,Look,TBD,TBD
Bein,das,Beine,A1,Leg,TBD,TBD
Stuhl,der,Stühle,A1,Chair,TBD,TBD
Büro,das,Büros,A2,Office,TBD,TBD
Bruder,der,Brüder,A1,Brother,TBD,TBD
Frage,die,Fragen,A2,Question,TBD,TBD
Stadt,die,Städte,A2,City,TBD,TBD
Monat,der,Monate,A1,Month,TBD,TBD
Baby,das,Babys,A1,Baby,TBD,TBD
Zuhause,das,Zuhause,A2,Home,TBD,TBD
Hund,der,Hunde,A1,Dog,TBD,TBD
Straße,die,Straßen,A1,Road,TBD,TBD
Idee,die,Ideen,B1,Idea,TBD,TBD
Küche,die,Küchen,A1,Kitchen,TBD,TBD
Grundstück,das,Grundstücke,B2,Lot,TBD,TBD
Sohn,der,Söhne,A1,Son,TBD,TBD
Job,der,Jobs,A2,Job,TBD,TBD
Papier,das,Papiere,A2,Paper,TBD,TBD
Schwester,die,Schwestern,A1,Sister,TBD,TBD
Lächeln,das,Lächeln,A2,Smile,TBD,TBD
Punkt,der,Punkte,A2,Point,TBD,TBD
Gedanke,der,Gedanken,B1,Thought,TBD,TBD
Liebe,die,-,B1,Love,TBD,TBD
Stadt,die,Städte,A2,Town,TBD,TBD
Tod,der,Tode,B1,Death,TBD,TBD
Boden,der,Böden,A2,Ground,TBD,TBD
Anderen,die,-,B1,Others,TBD,TBD
Feuer,das,Feuer,A1,Fire,TBD,TBD
Schritt,der,Schritte,A2,Step,TBD,TBD
Blut,das,-,A1,Blood,TBD,TBD
Tatsache,die,Tatsachen,B1,Fact,TBD,TBD
Atem,der,Atemzüge,A1,Breath,TBD,TBD
Lippe,die,Lippen,A1,Lip,TBD,TBD
Sonne,die,Sonnen,A1,Sun,TBD,TBD
Gebäude,das,Gebäude,A2,Building,TBD,TBD
Nummer,die,Nummern,A2,Number,TBD,TBD
Ehemann,der,Ehemänner,A2,Husband,TBD,TBD
Elternteil,der,Elternteile,B1,Parent,TBD,TBD
Ecke,die,Ecken,A1,Corner,TBD,TBD
Problem,das,Probleme,B1,Problem,TBD,TBD
Paar,das,Paare,A2,Couple,TBD,TBD
Tochter,die,Töchter,A1,Daughter,TBD,TBD
Tasche,die,Taschen,A2,Bag,TBD,TBD
Hölle,die,-,A2,Hell,TBD,TBD
Ruhe,die,-,A2,Rest,TBD,TBD
Geschäft,das,Geschäfte,A2,Business,TBD,TBD
Himmel,der,Himmel,A1,Sky,TBD,TBD
Schachtel,die,Schachteln,A2,Box,TBD,TBD
Person,die,Personen,A2,Person,TBD,TBD
Grund,der,Gründe,B1,Reason,TBD,TBD
Recht,das,-,B1,Right,TBD,TBD
Haut,die,Häute,A1,Skin,TBD,TBD
Vater,der,Väter,A1,Dad,TBD,TBD
Fall,der,Fälle,B1,Case,TBD,TBD
Stück,das,Stücke,A2,Piece,TBD,TBD
Arzt,der,Ärzte,A2,Doctor,TBD,TBD
Rand,der,Ränder,A2,Edge,TBD,TBD
Mutter,die,Mütter,A1,Mom,TBD,TBD
Bild,das,Bilder,A2,Picture,TBD,TBD
Sinn,der,Sinne,B1,Sense,TBD,TBD
Ohr,das,Ohren,A1,Ear,TBD,TBD
Sekunde,die,Sekunden,A1,Second,TBD,TBD
Dame,die,Damen,A2,Lady,TBD,TBD
Hals,der,Hälse,A1,Neck,TBD,TBD
Wind,der,Winde,A1,Wind,TBD,TBD
Schreibtisch,der,Schreibtische,A2,Desk,TBD,TBD
Waffe,die,Waffen,A2,Gun,TBD,TBD
Stein,der,Steine,A1,Stone,TBD,TBD
Kaffee,der,Kaffees,A1,Coffee,TBD,TBD
Schiff,das,Schiffe,A2,Ship,TBD,TBD
Erde,die,-,A2,Earth,TBD,TBD
Essen,das,-,A1,Food,TBD,TBD
Pferd,das,Pferde,A1,Horse,TBD,TBD
Feld,das,Felder,A2,Field,TBD,TBD
Krieg,der,Kriege,A2,War,TBD,TBD
Nachmittag,der,Nachmittage,A1,Afternoon,TBD,TBD
Herr,der,Herren,A1,Sir,TBD,TBD
Raum,der,Räume,A2,Space,TBD,TBD
Abend,der,Abende,A1,Evening,TBD,TBD
Brief,der,Briefe,A2,Letter,TBD,TBD
Bar,die,Bars,A2,Bar,TBD,TBD
Traum,der,Träume,A2,Dream,TBD,TBD
Wohnung,die,Wohnungen,A2,Apartment,TBD,TBD
Brust,die,Brüste,A2,Chest,TBD,TBD
Spiel,das,Spiele,A2,Game,TBD,TBD
Sommer,der,Sommer,A1,Summer,TBD,TBD
Angelegenheit,die,Angelegenheiten,B2,Matter,TBD,TBD
Stille,die,-,B1,Silence,TBD,TBD
Spitze,die,Spitzen,A2,Top,TBD,TBD
Felsen,der,Felsen,A2,Rock,TBD,TBD
Macht,die,-,B1,Power,TBD,TBD
Kleidung,die,-,A2,Clothes,TBD,TBD
Schild,das,Schilder,A2,Sign,TBD,TBD
Aufmerksamkeit,die,-,B2,Attention,TBD,TBD
Musik,die,-,A1,Music,TBD,TBD
Zustand,der,Zustände,B1,State,TBD,TBD
Tasche,die,Taschen,A2,Pocket,TBD,TBD
Abendessen,das,Abendessen,A2,Dinner,TBD,TBD
Saal,der,Säle,A2,Hall,TBD,TBD
Schmerz,der,Schmerzen,B1,Pain,TBD,TBD
Alter,das,-,A2,Age,TBD,TBD
Fluss,der,Flüsse,A1,River,TBD,TBD
Chance,die,Chancen,B1,Chance,TBD,TBD
Nase,die,Nasen,A1,Nose,TBD,TBD
Schatten,der,Schatten,A2,Shadow,TBD,TBD
Polizei,die,-,A2,Police,TBD,TBD
Erinnerung,die,Erinnerungen,B1,Memory,TBD,TBD
Farbe,die,Farben,A1,Color,TBD,TBD
Knie,das,Knie,A1,Knee,TBD,TBD
Holz,das,-,A2,Wood,TBD,TBD
Hemd,das,Hemden,A2,Shirt,TBD,TBD
Party,die,Partys,A2,Party,TBD,TBD
Land,das,Länder,A2,Country,TBD,TBD
Lastwagen,der,Lastwagen,A2,Truck,TBD,TBD
Zahn,der,Zähne,A1,Tooth,TBD,TBD
Rechnung,die,Rechnungen,B1,Bill,TBD,TBD
Szene,die,Szenen,A2,Scene,TBD,TBD
Land,das,Länder,A2,Land,TBD,TBD
Stern,der,Sterne,A1,Star,TBD,TBD
Vogel,der,Vögel,A1,Bird,TBD,TBD
Schlafzimmer,das,Schlafzimmer,A2,Bedroom,TBD,TBD
Onkel,der,Onkel,A1,Uncle,TBD,TBD
Art,die,-,A2,Sort,TBD,TBD
Gruppe,die,Gruppen,B1,Group,TBD,TBD
Wahrheit,die,Wahrheiten,B1,Truth,TBD,TBD
Schwierigkeit,die,-,B1,Trouble,TBD,TBD
Menschenmenge,die,Menschenmengen,B1,Crowd,TBD,TBD
Bahnhof,der,Bahnhöfe,A1,Station,TBD,TBD
Träne,die,Tränen,A1,Tear,TBD,TBD
Klasse,die,Klassen,A2,Class,TBD,TBD
Meer,das,Meere,A1,Sea,TBD,TBD
Tier,das,Tiere,A1,Animal,TBD,TBD
Zentrum,das,Zentren,B1,Center,TBD,TBD
Gefühl,das,Gefühle,B1,Feeling,TBD,TBD
Geschäft,das,Geschäfte,A2,Store,TBD,TBD
Berg,der,Berge,A1,Mountain,TBD,TBD
Nachrichten,die,-,B1,News,TBD,TBD
Schuh,der,Schuhe,A1,Shoe,TBD,TBD
Katze,die,Katzen,A1,Cat,TBD,TBD
Bildschirm,der,Bildschirme,A2,Screen,TBD,TBD
Flasche,die,Flaschen,A2,Bottle,TBD,TBD
Anruf,der,Anrufe,A2,Call,TBD,TBD
Wohnzimmer,das,Wohnzimmer,A1,Living,TBD,TBD
Wange,die,Wangen,A1,Cheek,TBD,TBD
Student,der,Studenten,A2,Student,TBD,TBD
Ball,der,Bälle,A1,Ball,TBD,TBD
Anblick,der,Anblicke,B1,Sight,TBD,TBD
Hügel,der,Hügel,A1,Hill,TBD,TBD
Unternehmen,das,Unternehmen,B2,Company,TBD,TBD
Kirche,die,Kirchen,A2,Church,TBD,TBD
Regen,der,Regen,A1,Rain,TBD,TBD
Anzug,der,Anzüge,A2,Suit,TBD,TBD
Eins,die,-,A1,One,TBD,TBD
Richtung,die,Richtungen,A2,Direction,TBD,TBD
Wille,der,-,B1,Will,TBD,TBD
Hals,der,Hälse,A1,Throat,TBD,TBD
Mitte,die,-,A2,Middle,TBD,TBD
Antwort,die,Antworten,A2,Answer,TBD,TBD
Zeug,das,-,A2,Stuff,TBD,TBD
Krankenhaus,das,Krankenhäuser,A2,Hospital,TBD,TBD
Kamera,die,Kameras,A2,Camera,TBD,TBD
Kleid,das,Kleider,A2,Dress,TBD,TBD
Karte,die,Karten,A2,Card,TBD,TBD
Hof,der,Höfe,A2,Yard,TBD,TBD
Dunkelheit,die,-,B1,Dark,TBD,TBD
Scheiße,die,-,B1,Shit,TBD,TBD
Bild,das,Bilder,A2,Image,TBD,TBD
Maschine,die,Maschinen,A2,Machine,TBD,TBD
Entfernung,die,Entfernungen,B1,Distance,TBD,TBD
Gebiet,das,Gebiete,B1,Area,TBD,TBD
Erzähler,der,Erzähler,B1,Narrator,TBD,TBD
Eis,das,Eis,A1,Ice,TBD,TBD
Schnee,der,-,A1,Snow,TBD,TBD
Notiz,die,Notizen,A2,Note,TBD,TBD
Spiegel,der,Spiegel,A1,Mirror,TBD,TBD
König,der,Könige,A2,King,TBD,TBD
Angst,die,-,B1,Fear,TBD,TBD
Beamte,der,Beamten,B1,Officer,TBD,TBD
Loch,das,Löcher,A1,Hole,TBD,TBD
Schuss,der,Schüsse,B1,Shot,TBD,TBD
Wächter,der,Wächter,B1,Guard,TBD,TBD
Gespräch,das,Gespräche,A2,Conversation,TBD,TBD
Boot,das,Boote,A1,Boat,TBD,TBD
System,das,Systeme,B2,System,TBD,TBD
Sorge,die,Sorgen,A2,Care,TBD,TBD
Bit,das,Bits,A2,Bit,TBD,TBD
Film,der,Filme,A2,Movie,TBD,TBD
Knochen,der,Knochen,A1,Bone,TBD,TBD
Seite,die,Seiten,A2,Page,TBD,TBD
Kapitän,der,Kapitäne,B1,Captain,TBD,TBD
Tante,die,Tanten,A1,Aunt,TBD,TBD
Dunkelheit,die,-,B1,Darkness,TBD,TBD
Kontrolle,die,Kontrollen,B2,Control,TBD,TBD
Getränk,das,Getränke,A2,Drink,TBD,TBD
Hotel,das,Hotels,A2,Hotel,TBD,TBD
Mantel,der,Mäntel,A2,Coat,TBD,TBD
Treppe,die,Treppen,A1,Stair,TBD,TBD
Bestellung,die,Bestellungen,A2,Order,TBD,TBD
Rose,die,Rosen,A1,Rose,TBD,TBD
Miss,die,-,A2,Miss,TBD,TBD
Hut,der,Hüte,A1,Hat,TBD,TBD
Gold,das,-,A2,Gold,TBD,TBD
Zigarette,die,Zigaretten,A2,Cigarette,TBD,TBD
Wolke,die,Wolken,A1,Cloud,TBD,TBD
Aussicht,die,Aussichten,B1,View,TBD,TBD
Fahrer,der,Fahrer,A2,Driver,TBD,TBD
Tasse,die,Tassen,A1,Cup,TBD,TBD
Figur,die,Figuren,A2,Figure,TBD,TBD
Ausdruck,der,Ausdrücke,B1,Expression,TBD,TBD
Weg,der,Wege,A2,Path,TBD,TBD
Schlüssel,der,Schlüssel,A2,Key,TBD,TBD
Computer,der,Computer,A2,Computer,TBD,TBD
Blume,die,Blumen,A1,Flower,TBD,TBD
Ring,der,Ringe,A2,Ring,TBD,TBD
Badezimmer,das,Badezimmer,A2,Bathroom,TBD,TBD
Metall,das,Metalle,A2,Metal,TBD,TBD
Mond,der,Monde,A1,Moon,TBD,TBD
Lied,das,Lieder,A1,Song,TBD,TBD
Soldat,der,Soldaten,B1,Soldier,TBD,TBD
Radio,das,Radios,A2,Radio,TBD,TBD
Geschichte,die,Geschichten,B1,History,TBD,TBD
Welle,die,Wellen,A2,Wave,TBD,TBD
Plan,der,Pläne,A2,Plan,TBD,TBD
College,das,Colleges,B1,College,TBD,TBD
Fisch,der,Fische,A1,Fish,TBD,TBD
Garten,der,Gärten,A1,Garden,TBD,TBD
Zug,der,Züge,A1,Train,TBD,TBD
Geschäft,das,Geschäfte,A2,Shop,TBD,TBD
Polizist,der,Polizisten,A2,Cop,TBD,TBD
Kunst,die,-,B1,Art,TBD,TBD
Bier,das,Biere,A1,Beer,TBD,TBD
Norden,der,-,A2,North,TBD,TBD
Insel,die,Inseln,A1,Island,TBD,TBD
Bus,der,Busse,A1,Bus,TBD,TBD
Geruch,der,Gerüche,A2,Smell,TBD,TBD
Geräusch,das,Geräusche,A2,Noise,TBD,TBD
Mama,die,-,A1,Mama,TBD,TBD
Park,der,Parks,A1,Park,TBD,TBD
Süden,der,-,A2,South,TBD,TBD
Paar,das,Paare,A2,Pair,TBD,TBD
Herr,der,Herren,A1,Lord,TBD,TBD
Teller,der,Teller,A1,Plate,TBD,TBD
Jacke,die,Jacken,A2,Jacket,TBD,TBD
Hilfe,die,Hilfen,A2,Help,TBD,TBD
Papa,der,Papas,A1,Daddy,TBD,TBD
Gras,das,Gräser,A1,Grass,TBD,TBD
Dank,der,Danksagungen,A2,Thanks,TBD,TBD
Hitze,die,-,A2,Heat,TBD,TBD
Schlaf,der,-,B1,Sleep,TBD,TBD
Gehirn,das,Gehirne,A2,Brain,TBD,TBD
Service,der,Services,B1,Service,TBD,TBD
Reise,die,Reisen,A2,Trip,TBD,TBD
Schlag,der,Schläge,A2,Beat,TBD,TBD
Messer,das,Messer,A1,Knife,TBD,TBD
Fleck,der,Flecken,A2,Spot,TBD,TBD
Nachricht,die,Nachrichten,B1,Message,TBD,TBD
Zeichen,das,Zeichen,A2,Mark,TBD,TBD
Lehrer,der,Lehrer,A2,Teacher,TBD,TBD
Blick,der,Blicke,A2,Gaze,TBD,TBD
Dorf,das,Dörfer,A1,Village,TBD,TBD
Winter,der,Winter,A1,Winter,TBD,TBD
Front,die,Fronten,A2,Front,TBD,TBD
Gesetz,das,Gesetze,B1,Law,TBD,TBD
Oberfläche,die,Oberflächen,B2,Surface,TBD,TBD
Bank,die,Banken,A2,Bank,TBD,TBD
Team,das,Teams,A2,Team,TBD,TBD
Maximum,das,Maxima,B1,Maximum,TBD,TBD
Position,die,Positionen,B1,Position,TBD,TBD
Magen,der,Mägen,A1,Stomach,TBD,TBD
Wende,die,-,A2,Turn,TBD,TBD
Westen,der,-,A2,West,TBD,TBD
Mittagessen,das,Mittagessen,A2,Lunch,TBD,TBD
Veränderung,die,Veränderungen,B2,Change,TBD,TBD
Lebewesen,das,Lebewesen,B1,Creature,TBD,TBD
Seele,die,Seelen,B1,Soul,TBD,TBD
Blatt,das,Blätter,A1,Leaf,TBD,TBD
Show,die,Shows,A2,Show,TBD,TBD
Tor,das,Tore,A1,Gate,TBD,TBD
Palme,die,Palmen,A1,Palm,TBD,TBD
Plastik,das,-,A2,Plastic,TBD,TBD
Kraft,die,Kräfte,B1,Force,TBD,TBD
Strand,der,Strände,A1,Beach,TBD,TBD
Präsident,der,Präsidenten,B2,President,TBD,TBD
Form,die,Formen,A2,Shape,TBD,TBD
Rauch,der,Rauch,A1,Smoke,TBD,TBD
Rad,das,Räder,A1,Wheel,TBD,TBD
Silber,das,-,A2,Silver,TBD,TBD
Dach,das,Dächer,A1,Roof,TBD,TBD
Gewicht,das,Gewichte,B1,Weight,TBD,TBD
Zunge,die,Zungen,A1,Tongue,TBD,TBD
Tee,der,Tees,A1,Tea,TBD,TBD
Strecke,die,Strecken,A2,Track,TBD,TBD
Winkel,der,Winkel,B1,Angle,TBD,TBD
Form,die,Formen,A2,Form,TBD,TBD
Ton,der,Töne,A2,Tone,TBD,TBD
Kreis,der,Kreise,A2,Circle,TBD,TBD
Frühling,der,Frühlinge,A1,Spring,TBD,TBD
Veranda,die,Veranden,A2,Porch,TBD,TBD
Blatt,das,Blätter,A1,Sheet,TBD,TBD
Mitglied,das,Mitglieder,B1,Member,TBD,TBD
Pool,der,Pools,A2,Pool,TBD,TBD
Bedürfnis,das,Bedürfnisse,B2,Need,TBD,TBD
Hoffnung,die,Hoffnungen,B1,Hope,TBD,TBD
See,der,Seen,A1,Lake,TBD,TBD
Brust,die,Brüste,A2,Breast,TBD,TBD
Überraschung,die,Überraschungen,B1,Surprise,TBD,TBD
Interesse,das,-,B1,Interest,TBD,TBD
Boden,der,Böden,A2,Bottom,TBD,TBD
Geist,der,Geister,B1,Spirit,TBD,TBD
Block,der,Blöcke,A2,Block,TBD,TBD
Sprache,die,Sprachen,B1,Language,TBD,TBD
Brücke,die,Brücken,A1,Bridge,TBD,TBD
Staub,der,-,A2,Dust,TBD,TBD
Zelle,die,Zellen,A2,Cell,TBD,TBD
Wein,der,Weine,A1,Wine,TBD,TBD
Stiefel,der,Stiefel,A1,Boot,TBD,TBD
Wahl,die,Wahlen,B1,Choice,TBD,TBD
Reihe,die,Reihen,A2,Row,TBD,TBD
Gespräch,das,Gespräche,A2,Talk,TBD,TBD
Flugzeug,das,Flugzeuge,A1,Plane,TBD,TBD
Uhr,die,Uhren,A1,Watch,TBD,TBD
Information,die,Informationen,B1,Information,TBD,TBD
Großmutter,die,-,A1,Grandmother,TBD,TBD
Flügel,der,Flügel,A2,Wing,TBD,TBD
Bob,der,Bobs,A2,Bob,TBD,TBD
Club,der,Clubs,A2,Club,TBD,TBD
Meister,der,Meister,B1,Master,TBD,TBD
Gnade,die,Gnaden,B1,Grace,TBD,TBD
Wald,der,Wälder,A1,Forest,TBD,TBD
Größe,die,Größen,A2,Size,TBD,TBD
Satz,der,Sätze,B1,Set,TBD,TBD
Ehe,die,Ehen,A2,Marriage,TBD,TBD
Stirn,die,Stirnen,A1,Forehead,TBD,TBD
Sturm,der,Stürme,A1,Storm,TBD,TBD
Durchgang,der,Durchgänge,A2,Doorway,TBD,TBD
Situation,die,Situationen,B1,Situation,TBD,TBD
Theke,die,Theken,A2,Counter,TBD,TBD
Nachbar,der,Nachbarn,A2,Neighbor,TBD,TBD
Foto,das,Fotos,A1,Photo,TBD,TBD
Bühne,die,Bühnen,A2,Stage,TBD,TBD
Treffen,das,Treffen,A2,Meeting,TBD,TBD
Krankenschwester,die,Krankenschwestern,A2,Nurse,TBD,TBD
Sicherheit,die,Sicherheiten,B2,Security,TBD,TBD
Waffe,die,Waffen,A2,Weapon,TBD,TBD
Ereignis,das,Ereignisse,B1,Event,TBD,TBD
Decke,die,Decken,A1,Ceiling,TBD,TBD
Motor,der,Motoren,A2,Engine,TBD,TBD
Geschenk,das,Geschenke,A1,Gift,TBD,TBD
Restaurant,das,Restaurants,A2,Restaurant,TBD,TBD
Brett,das,Bretter,A1,Board,TBD,TBD
Flur,der,Flure,A1,Hallway,TBD,TBD
Armee,die,-,A2,Army,TBD,TBD
Aufwand,der,Aufwände,B1,Effort,TBD,TBD
Osten,der,-,A2,East,TBD,TBD
Agent,der,Agenten,A2,Agent,TBD,TBD
Zukunft,die,Zukunft,B1,Future,TBD,TBD
Hose,die,Hosen,A2,Pant,TBD,TBD
Leder,das,-,A2,Leather,TBD,TBD
Flug,der,Flüge,A2,Flight,TBD,TBD
Sex,der,-,A2,Sex,TBD,TBD
Gericht,das,Gerichte,B1,Court,TBD,TBD
Kurs,der,Kurse,A2,Course,TBD,TBD
Schmutz,der,-,A2,Dirt,TBD,TBD
Ei,das,Eier,A1,Egg,TBD,TBD
Kinn,das,Kinne,A1,Chin,TBD,TBD
Fremde,der,Fremden,A2,Stranger,TBD,TBD
Vergnügen,das,Vergnügen,B1,Pleasure,TBD,TBD
Detail,das,Details,B1,Detail,TBD,TBD
Besatzung,die,Besatzungen,B1,Crew,TBD,TBD
Herbst,der,Fälle,A1,Fall,TBD,TBD
Gast,der,Gäste,A2,Guest,TBD,TBD
Erfahrung,die,Erfahrungen,B1,Experience,TBD,TBD
Witz,der,Witze,A2,Joke,TBD,TBD
Sand,der,-,A2,Sand,TBD,TBD
Faust,die,Fäuste,A1,Fist,TBD,TBD
Aktion,die,Aktionen,B1,Action,TBD,TBD
Spaziergang,der,Spaziergänge,A2,Walk,TBD,TBD
Hochzeit,die,Hochzeiten,A2,Wedding,TBD,TBD
Geschäft,das,Geschäfte,A2,Deal,TBD,TBD
Natur,die,-,A2,Nature,TBD,TBD
Planet,der,Planeten,B1,Planet,TBD,TBD
Cousin,der,Cousins,A2,Cousin,TBD,TBD
Bewegung,die,Bewegungen,B1,Movement,TBD,TBD
Fleisch,das,-,A2,Flesh,TBD,TBD
Rekord,der,Rekorde,B1,Record,TBD,TBD
Lager,das,Lager,A2,Camp,TBD,TBD
Zeitung,die,Zeitungen,A2,Newspaper,TBD,TBD
Strahl,der,Strahlen,A2,Ray,TBD,TBD
Mensch,der,Menschen,A1,Human,TBD,TBD
Couch,die,Couches,A1,Couch,TBD,TBD
Bewegung,die,Bewegungen,B1,Motion,TBD,TBD
Großvater,der,Großväter,A1,Grandfather,TBD,TBD
Foto,das,Fotos,A1,Photograph,TBD,TBD
Geheimnis,das,Geheimnisse,B1,Secret,TBD,TBD
Schönheit,die,Schönheiten,B1,Beauty,TBD,TBD
Anwesenheit,die,-,B1,Presence,TBD,TBD
Glocke,die,Glocken,A1,Bell,TBD,TBD
Volk,das,-,B1,Folk,TBD,TBD
Knopf,der,Knöpfe,A1,Button,TBD,TBD
Liste,die,Listen,A2,List,TBD,TBD
Level,das,Level,A2,Level,TBD,TBD
Datum,das,Daten,A2,Date,TBD,TBD
Fach,das,Fächer,A2,Subject,TBD,TBD
Unterschied,der,Unterschiede,B2,Difference,TBD,TBD
Pause,die,Pausen,A2,Pause,TBD,TBD
Lieferwagen,der,Lieferwagen,A2,Van,TBD,TBD
Klinge,die,Klingen,A2,Blade,TBD,TBD
Fernsehen,das,Fernseher,A2,Television,TBD,TBD
Abdeckung,die,Abdeckungen,B2,Cover,TBD,TBD
Vergangenheit,die,-,C1,Past,TBD,TBD
Farm,die,Farmen,A2,Farm,TBD,TBD
Schoß,der,Schoß,A2,Lap,TBD,TBD
Band,die,Bands,A2,Band,TBD,TBD
Anwalt,der,Anwälte,B1,Lawyer,TBD,TBD
Magazin,das,Magazine,A2,Magazine,TBD,TBD
Ast,der,Äste,A1,Branch,TBD,TBD
Rahmen,der,Rahmen,A2,Frame,TBD,TBD
Deck,das,Decks,A2,Deck,TBD,TBD
Wirkung,die,Wirkungen,B1,Effect,TBD,TBD
Tanz,der,Tänze,A2,Dance,TBD,TBD
Vision,die,Visionen,B1,Vision,TBD,TBD
Geist,das,Geister,A2,Ghost,TBD,TBD
Hintern,der,Hintern,A2,Ass,TBD,TBD
Charakter,der,Charaktere,B2,Character,TBD,TBD
Blick,der,Blicke,A2,Glance,TBD,TBD
Abschied,der,-,A2,Goodbye,TBD,TBD
Parken,das,-,A2,Parking,TBD,TBD
Frühstück,das,Frühstücke,A1,Breakfast,TBD,TBD
Geste,die,Gesten,A2,Gesture,TBD,TBD
Glück,das,-,A2,Luck,TBD,TBD
Decke,die,Decken,A2,Blanket,TBD,TBD
Gas,das,-,A2,Gas,TBD,TBD
Korridor,der,Korridore,A2,Corridor,TBD,TBD
Professor,der,Professoren,B2,Professor,TBD,TBD
Stück,das,Stücke,A2,Play,TBD,TBD
Fehler,der,Fehler,B1,Mistake,TBD,TBD
Universität,die,Universitäten,B2,University,TBD,TBD
Ozean,der,Ozeane,A1,Ocean,TBD,TBD
Jahrhundert,das,Jahrhunderte,B2,Century,TBD,TBD
Honig,der,-,A1,Honey,TBD,TBD
Stapel,der,Stapel,A2,Pile,TBD,TBD
Schüssel,die,Schüsseln,A2,Bowl,TBD,TBD
Basis,die,Basen,A2,Base,TBD,TBD
Zaun,der,Zäune,A1,Fence,TBD,TBD
Regel,die,Regeln,A2,Rule,TBD,TBD
Lachen,das,-,A2,Laughter,TBD,TBD
Ärger,der,-,B1,Anger,TBD,TBD
Schweiß,der,-,A2,Sweat,TBD,TBD
Unfall,der,Unfälle,B1,Accident,TBD,TBD
Wetter,das,-,A1,Weather,TBD,TBD
Entscheidung,die,Entscheidungen,B1,Decision,TBD,TBD
Engel,der,Engel,A2,Angel,TBD,TBD
Stärke,die,Stärken,B1,Strength,TBD,TBD
Huhn,das,Hühner,A1,Chicken,TBD,TBD
